timestamp,value
2026-04-29 21:12:00+00,0
2026-04-29 21:12:05+00,0
2026-04-29 21:12:10+00,0
2026-04-29 21:12:15+00,0
2026-04-29 21:12:20+00,0
2026-04-29 21:12:25+00,0
2026-04-29 21:12:30+00,0
2026-04-29 21:12:35+00,0
2026-04-29 21:12:40+00,0
2026-04-29 21:12:45+00,0
2026-04-29 21:12:50+00,0
2026-04-29 21:12:55+00,0
2026-04-29 21:13:00+00,0
2026-04-29 21:13:05+00,0
2026-04-29 21:13:10+00,0
2026-04-29 21:13:15+00,0
2026-04-29 21:13:20+00,0
2026-04-29 21:13:25+00,0
2026-04-29 21:13:30+00,0
2026-04-29 21:13:35+00,0
2026-04-29 21:13:40+00,0
2026-04-29 21:13:45+00,0
2026-04-29 21:13:50+00,0
2026-04-29 21:13:55+00,0
2026-04-29 21:14:00+00,0
2026-04-29 21:14:05+00,0
2026-04-29 21:14:10+00,0
2026-04-29 21:14:15+00,0
2026-04-29 21:14:20+00,0
2026-04-29 21:14:25+00,0
2026-04-29 21:14:30+00,0
2026-04-29 21:14:35+00,0
2026-04-29 21:14:40+00,0
2026-04-29 21:14:45+00,0
2026-04-29 21:14:50+00,0
2026-04-29 21:14:55+00,0
2026-04-29 21:15:00+00,0
2026-04-29 21:15:05+00,0
2026-04-29 21:15:10+00,0
2026-04-29 21:15:15+00,0
2026-04-29 21:15:20+00,0
2026-04-29 21:15:25+00,0
2026-04-29 21:15:30+00,0
2026-04-29 21:15:35+00,0
2026-04-29 21:15:40+00,0
2026-04-29 21:15:45+00,0
2026-04-29 21:15:50+00,0
2026-04-29 21:15:55+00,0
2026-04-29 21:16:00+00,0
2026-04-29 21:16:05+00,0
2026-04-29 21:16:10+00,0
2026-04-29 21:16:15+00,0
2026-04-29 21:16:20+00,0
2026-04-29 21:16:25+00,0
2026-04-29 21:16:30+00,0
2026-04-29 21:16:35+00,0
2026-04-29 21:16:40+00,0
2026-04-29 21:16:45+00,0
2026-04-29 21:16:50+00,0
2026-04-29 21:16:55+00,0
2026-04-29 21:17:00+00,0
2026-04-29 21:17:05+00,0
2026-04-29 21:17:10+00,0
2026-04-29 21:17:15+00,0
2026-04-29 21:17:20+00,0
2026-04-29 21:17:25+00,0
2026-04-29 21:17:30+00,0
2026-04-29 21:17:35+00,0
2026-04-29 21:17:40+00,0
2026-04-29 21:17:45+00,0
2026-04-29 21:17:50+00,0
2026-04-29 21:17:55+00,0
2026-04-29 21:18:00+00,0
2026-04-29 21:18:05+00,0
2026-04-29 21:18:10+00,0
2026-04-29 21:18:15+00,0
2026-04-29 21:18:21+00,0
2026-04-29 21:18:25+00,0
2026-04-29 21:18:30+00,0
2026-04-29 21:18:35+00,0
2026-04-29 21:18:40+00,0
2026-04-29 21:18:45+00,0
2026-04-29 21:18:50+00,0
2026-04-29 21:18:55+00,0
2026-04-29 21:19:01+00,0
2026-04-29 21:19:05+00,0
2026-04-29 21:19:10+00,0
2026-04-29 21:19:15+00,0
2026-04-29 21:19:20+00,0
2026-04-29 21:19:25+00,0
2026-04-29 21:19:30+00,0
2026-04-29 21:19:35+00,0
2026-04-29 21:19:40+00,0
2026-04-29 21:19:46+00,0
2026-04-29 21:19:50+00,0
2026-04-29 21:19:55+00,0
2026-04-29 21:20:00+00,0
